z,p,limit,cascades,verlauf
1,0.13,8,779,"[30, 54, 80, 109, 133, 157, 183, 210, 236, 269, 309, 350, 383, 414, 442, 471, 498, 522, 547, 574, 609, 639, 668, 690, 707, 729, 745, 764, 770, 773, 777, 779, 779]"
1,0.13,9,447,"[30, 58, 86, 121, 150, 175, 199, 221, 243, 275, 305, 332, 360, 378, 396, 413, 421, 430, 434, 436, 438, 440, 443, 446, 447, 447]"
1,0.13999999999999999,1,234,"[30, 59, 83, 107, 125, 135, 143, 151, 159, 166, 171, 175, 176, 178, 182, 186, 193, 200, 206, 213, 222, 228, 230, 231, 232, 233, 234, 234]"
1,0.13999999999999999,2,1291,"[30, 55, 84, 104, 123, 147, 170, 185, 200, 219, 238, 264, 287, 315, 344, 378, 416, 458, 505, 549, 594, 635, 681, 725, 765, 811, 853, 894, 934, 984, 1027, 1068, 1110, 1149, 1178, 1205, 1230, 1247, 1259, 1270, 1274, 1278, 1281, 1284, 1288, 1290, 1291, 1291]"
1,0.13999999999999999,3,772,"[30, 54, 80, 109, 132, 155, 180, 207, 233, 266, 305, 345, 377, 408, 436, 464, 491, 515, 540, 567, 602, 632, 661, 683, 700, 722, 738, 757, 763, 766, 770, 772, 772]"
1,0.13999999999999999,4,447,"[30, 58, 86, 121, 150, 175, 199, 221, 243, 275, 305, 332, 360, 378, 396, 413, 421, 430, 434, 436, 438, 440, 443, 446, 447, 447]"
1,0.13999999999999999,5,959,"[30, 60, 87, 117, 142, 157, 171, 186, 202, 217, 228, 237, 241, 247, 255, 265, 278, 294, 307, 322, 338, 351, 362, 372, 382, 397, 412, 430, 448, 470, 494, 520, 545, 573, 608, 638, 668, 710, 758, 803, 831, 861, 885, 899, 906, 910, 915, 924, 929, 933, 937, 941, 946, 948, 950, 953, 956, 958, 959, 959]"
1,0.13999999999999999,6,1424,"[30, 55, 85, 106, 127, 156, 184, 204, 228, 265, 301, 345, 389, 437, 484, 537, 595, 661, 724, 784, 845, 899, 960, 1011, 1057, 1110, 1155, 1192, 1215, 1241, 1264, 1293, 1323, 1358, 1382, 1401, 1415, 1419, 1422, 1424, 1424]"
1,0.13999999999999999,7,779,"[30, 54, 80, 109, 133, 157, 183, 210, 236, 269, 309, 350, 383, 414, 442, 471, 498, 522, 547, 574, 609, 639, 668, 690, 707, 729, 745, 764, 770, 773, 777, 779, 779]"
1,0.13999999999999999,8,447,"[30, 58, 86, 121, 150, 175, 199, 221, 243, 275, 305, 332, 360, 378, 396, 413, 421, 430, 434, 436, 438, 440, 443, 446, 447, 447]"
1,0.13999999999999999,9,959,"[30, 60, 87, 117, 142, 157, 171, 186, 202, 217, 228, 237, 241, 247, 255, 265, 278, 294, 307, 322, 338, 351, 362, 372, 382, 397, 412, 430, 448, 470, 494, 520, 545, 573, 608, 638, 668, 710, 758, 803, 831, 861, 885, 899, 906, 910, 915, 924, 929, 933, 937, 941, 946, 948, 950, 953, 956, 958, 959, 959]"
1,0.14999999999999997,1,156,"[30, 54, 78, 92, 104, 116, 124, 128, 129, 130, 132, 134, 136, 139, 142, 144, 146, 149, 151, 152, 154, 155, 156, 156]"
1,0.14999999999999997,2,703,"[30, 54, 80, 109, 131, 153, 176, 200, 223, 253, 287, 321, 348, 374, 397, 421, 444, 466, 488, 510, 537, 564, 592, 614, 631, 653, 669, 688, 694, 697, 701, 703, 703]"
1,0.14999999999999997,3,447,"[30, 58, 86, 121, 150, 175, 199, 221, 243, 275, 305, 332, 360, 378, 396, 413, 421, 430, 434, 436, 438, 440, 443, 446, 447, 447]"
1,0.14999999999999997,4,945,"[30, 60, 87, 117, 142, 157, 171, 186, 202, 217, 228, 237, 241, 247, 255, 265, 278, 294, 307, 322, 338, 351, 362, 372, 382, 397, 412, 430, 448, 470, 494, 520, 545, 573, 608, 638, 668, 710, 758, 803, 830, 854, 873, 885, 892, 896, 901, 910, 915, 919, 923, 927, 932, 934, 936, 939, 942, 944, 945, 945]"
1,0.14999999999999997,5,1424,"[30, 55, 85, 106, 127, 156, 184, 204, 228, 265, 301, 345, 389, 437, 484, 537, 595, 661, 724, 784, 845, 899, 960, 1011, 1057, 1110, 1155, 1192, 1215, 1241, 1264, 1293, 1323, 1358, 1382, 1401, 1415, 1419, 1422, 1424, 1424]"
1,0.14999999999999997,6,779,"[30, 54, 80, 109, 133, 157, 183, 210, 236, 269, 309, 350, 383, 414, 442, 471, 498, 522, 547, 574, 609, 639, 668, 690, 707, 729, 745, 764, 770, 773, 777, 779, 779]"
1,0.14999999999999997,7,447,"[30, 58, 86, 121, 150, 175, 199, 221, 243, 275, 305, 332, 360, 378, 396, 413, 421, 430, 434, 436, 438, 440, 443, 446, 447, 447]"
