z,p,cascades,verlauf
6,0.24999999999999992,61,"[30, 51, 60, 61, 61]"
7,0.1,9990,"[30, 189, 878, 4019, 9370, 9986, 9990, 9990]"
7,0.11,9991,"[30, 152, 694, 3228, 8882, 9976, 9991, 9991]"
7,0.12,9986,"[30, 165, 642, 2707, 8279, 9964, 9986, 9986]"
7,0.13,9990,"[30, 115, 332, 973, 3754, 9145, 9984, 9990, 9990]"
7,0.13999999999999999,9990,"[30, 127, 347, 1038, 3943, 9277, 9981, 9990, 9990]"
7,0.14999999999999997,9991,"[30, 80, 151, 247, 390, 713, 1913, 6479, 9871, 9990, 9991, 9991]"
7,0.15999999999999998,9986,"[30, 111, 242, 481, 1070, 3520, 8859, 9976, 9986, 9986]"
7,0.16999999999999998,130,"[30, 58, 83, 100, 113, 124, 128, 130, 130]"
7,0.17999999999999997,153,"[30, 72, 100, 116, 129, 139, 146, 150, 153, 153]"
7,0.18999999999999995,80,"[30, 53, 67, 74, 76, 77, 78, 79, 80, 80]"
7,0.19999999999999996,161,"[30, 76, 104, 123, 135, 143, 150, 156, 160, 161, 161]"
7,0.20999999999999996,48,"[30, 44, 47, 48, 48]"
7,0.21999999999999995,59,"[30, 52, 57, 58, 59, 59]"
7,0.22999999999999995,42,"[30, 41, 42, 42]"
7,0.23999999999999994,47,"[30, 46, 47, 47]"
7,0.24999999999999992,48,"[30, 44, 47, 48, 48]"
8,0.1,9997,"[30, 174, 754, 3715, 9439, 9996, 9997, 9997]"
8,0.11,9996,"[30, 141, 600, 2921, 8886, 9988, 9996, 9996]"
8,0.12,9995,"[30, 158, 583, 2537, 8371, 9980, 9994, 9995, 9995]"
8,0.13,9997,"[30, 106, 250, 628, 2490, 8246, 9983, 9997, 9997]"
8,0.13999999999999999,9997,"[30, 110, 250, 599, 2056, 7492, 9975, 9997, 9997]"
8,0.14999999999999997,9996,"[30, 66, 97, 120, 142, 168, 189, 213, 246, 296, 379, 553, 1151, 4351, 9613, 9996, 9996]"
8,0.15999999999999998,9995,"[30, 90, 153, 226, 326, 534, 1191, 4499, 9635, 9994, 9995, 9995]"
8,0.16999999999999998,63,"[30, 48, 59, 63, 63]"
8,0.17999999999999997,78,"[30, 58, 72, 76, 78, 78]"
8,0.18999999999999995,55,"[30, 48, 55, 55]"
8,0.19999999999999996,68,"[30, 57, 65, 67, 68, 68]"
8,0.20999999999999996,39,"[30, 39, 39]"
8,0.21999999999999995,46,"[30, 44, 46, 46]"
8,0.22999999999999995,41,"[30, 41, 41]"
8,0.23999999999999994,38,"[30, 38, 38]"
8,0.24999999999999992,39,"[30, 39, 39]"
9,0.1,9999,"[30, 170, 695, 3548, 9518, 9999, 9999]"
9,0.11,10000,"[30, 120, 430, 2017, 8039, 9997, 10000, 10000]"
9,0.12,9996,"[30, 134, 408, 1635, 7083, 9976, 9996, 9996]"
9,0.13,9999,"[30, 92, 182, 357, 932, 4265, 9737, 9999, 9999]"
9,0.13999999999999999,9999,"[30, 95, 191, 378, 982, 4363, 9763, 9999, 9999]"
